lwPropertyId,address,city,state,county,zip,price,acres,Rate,Url,types,status,created_at,updated_at
409935152,"",Ramah,New Mexico,Cibola County,87321,9900,5.04,1964,https://www.landwatch.com/cibola-county-county-new-mexico-farms-and-ranches-for-sale/pid/409935152,Farms and Ranches Recreational Property,Active,2021-04-13 14:28:35.24229+00,2021-04-13 14:28:35.242318+00
409798983,42 Lakeside Rd,Mahopac,New York,Putnam County,10541,35000,0.2,175000,https://www.landwatch.com/putnam-county-county-new-york-recreational-property-for-sale/pid/409798983,Recreational Property Undeveloped Land Homesites,Active,2021-04-14 08:29:45.592041+00,2021-04-14 08:29:45.592069+00
408720584,16 Brookside Rd,Mahopac,New York,Putnam County,10541,59000,0.46,128260,https://www.landwatch.com/putnam-county-county-new-york-recreational-property-for-sale/pid/408720584,Recreational Property Undeveloped Land Homesites,Active,2021-04-14 08:29:45.615265+00,2021-04-14 08:29:45.615292+00
408831969,25 Clearbrook Drive,Mahopac,New York,Putnam County,10541,16900,0.54,31296,https://www.landwatch.com/putnam-county-county-new-york-undeveloped-land-for-sale/pid/408831969,Undeveloped Land Homesites,Active,2021-04-14 08:29:45.627608+00,2021-04-14 08:29:45.627636+00
409732790,40 Sprucetop Drive,Carmel,New York,Putnam County,10541,1195000,2.31,517316,https://www.landwatch.com/putnam-county-county-new-york-homes-for-sale/pid/409732790,House,Active,2021-04-14 08:29:45.635956+00,2021-04-14 08:29:45.635984+00
409903373,40 Greenway Terrace N,Carmel,New York,Putnam County,10541,499900,1.13,442389,https://www.landwatch.com/putnam-county-county-new-york-homes-for-sale/pid/409903373,House,Active,2021-04-14 08:29:45.650904+00,2021-04-14 08:29:45.650931+00
408705076,74 Old Bedford Road,Goldens Bridge,New York,Westchester County,10526,599000,0.34,1761764,https://www.landwatch.com/westchester-county-county-new-york-homes-for-sale/pid/408705076,House,Under Contract,2021-04-14 08:33:15.325998+00,2021-04-14 08:33:15.326039+00
409650319,617 Hollier Rd,Duson,Louisiana,Lafayette Parish,70529,109900,0.83,132409,https://www.landwatch.com/lafayette-parish-parish-louisiana-homes-for-sale/pid/409650319,House,Active,2021-04-14 16:15:18.299305+00,2021-04-14 16:15:18.392851+00
408731342,618 Toby Mouton Road,Duson,Louisiana,Lafayette Parish,70529,80000,2,40000,https://www.landwatch.com/lafayette-parish-parish-louisiana-undeveloped-land-for-sale/pid/408731342,Undeveloped Land Homesites,Active,2021-04-14 16:15:19.144559+00,2021-04-14 16:15:19.165792+00
408659158,258 E 236th Street,Bronx,New York,Bronx County,10470,125000,0.05,2500000,https://www.landwatch.com/bronx-county-county-new-york-undeveloped-land-for-sale/pid/408659158,Undeveloped Land Homesites,Active,2021-04-14 08:27:45.191477+00,2021-04-14 08:27:45.191514+00
